GO_x,GO_y
2398.16,28401.1
2396.61,28386.7
2395.06,28292.3
2393.5,28186.7
2391.95,28137.6
2390.4,28039.1
2388.84,27994.5
2387.29,27927.2
2385.73,27828.9
2384.17,27747.1
2382.62,27699.6
2381.06,27554.3
2379.51,27443.8
2377.95,27370.4
2376.39,27315.4
2374.83,27225.8
2373.27,27025.2
2371.72,26919.2
2370.16,26901.9
2368.6,26817.8
2367.04,26652.8
2365.48,26523.1
2363.92,26463.9
2362.35,26372.6
2360.79,26294.7
2359.23,26237.1
2357.67,26183
2356.1,26111.1
2354.54,26026.6
2352.98,26084.7
2351.41,25927.3
2349.85,25843.5
2348.29,25764.7
2346.72,25696.4
2345.15,25608.8
2343.59,25557.2
2342.02,25435.6
2340.46,25338.3
2338.89,25298.5
2337.32,25186.8
2335.75,25137.4
2334.18,25050.3
2332.62,25013.6
2331.05,24911.9
2329.48,24836.9
2327.91,24756.3
2326.34,24677.4
2324.77,24533.9
2323.2,24462.8
2321.63,24312.2
2320.05,24195
2318.48,24063.9
2316.91,23997.6
2315.34,23892.9
2313.76,23888.2
2312.19,23808.2
2310.61,23709.3
2309.04,23723.1
2307.46,23577.8
2305.89,23527.6
2304.31,23471
2302.74,23360.9
2301.16,23224.8
2299.58,23191.8
2298.01,23072.6
2296.43,23010.8
2294.85,22934.1
2293.27,22865.2
2291.69,22780.7
2290.11,22729.8
2288.53,22652.4
2286.95,22471.3
2285.37,22368.2
2283.79,22305.9
2282.21,22142.1
2280.63,22092.8
2279.05,21980.3
2277.47,22007.5
2275.88,21914.9
2274.3,21848.5
2272.72,21787.3
2271.13,21693.4
2269.55,21584.7
2267.96,21469.5
2266.38,21386
2264.79,21310.1
2263.21,21298.3
2261.62,21140.1
2260.03,21070.8
2258.44,21039.9
2256.86,20961.6
2255.27,20918.3
2253.68,20880.3
2252.09,20754.9
2250.5,20663.2
2248.91,20560.2
2247.32,20403.1
2245.73,20331.2
2244.14,20244.1
2242.55,20141.2
2240.96,20012.9
2239.37,19927.8
2237.77,19788.4
2236.18,19653.3
2234.59,19562.6
2232.99,19489.7
2231.4,19357.4
2229.81,19293.9
2228.21,19213.1
2226.62,19132.4
2225.02,19064.9
2223.42,18968.2
2221.83,18942.9
2220.23,18888.5
2218.63,18816.4
2217.04,18673.9
2215.44,18629.4
2213.84,18532.8
2212.24,18490.5
2210.64,18469.4
2209.04,18476.6
2207.44,18384.6
2205.84,18392.6
2204.24,18338.9
2202.64,18308.5
2201.04,18276.6
2199.44,18201.4
2197.83,18160.5
2196.23,18144.9
2194.63,18111.2
2193.03,18037.4
2191.42,17962.5
2189.82,18006.7
2188.21,17999.8
2186.61,17892.6
2185,17819.1
2183.4,17799.1
2181.79,17684.4
2180.18,17623.8
2178.57,17540.9
2176.97,17419.2
2175.36,17338.8
2173.75,17269.7
2172.14,17213.4
2170.53,17172.9
2168.92,17082.7
2167.31,16966.5
2165.7,16874.6
2164.09,16852.7
2162.48,16690.7
2160.87,16678.9
2159.26,16564.1
2157.65,16508.8
2156.03,16392.6
2154.42,16289.5
2152.81,16158.8
2151.19,16156.2
2149.58,16064.4
2147.96,15948.6
2146.35,15897.3
2144.73,15832.8
2143.12,15702.6
2141.5,15640.8
2139.88,15610.2
2138.26,15526.5
2136.65,15417.7
2135.03,15366.6
2133.41,15271.5
2131.79,15227.3
2130.17,15102.7
2128.55,15117.4
2126.93,15015.2
2125.31,14986.3
2123.69,14955.2
2122.07,14950.1
2120.45,14900.7
2118.83,14786.9
2117.2,14697.8
2115.58,14692.4
2113.96,14647.2
2112.33,14644.1
2110.71,14629
2109.08,14587.2
2107.46,14582
2105.83,14554.6
2104.21,14518.1
2102.58,14479.9
2100.96,14410.8
2099.33,14386.2
2097.7,14266.7
2096.07,14247.8
2094.45,14238.2
2092.82,14187.1
2091.19,14186.6
2089.56,14089.2
2087.93,14076.1
2086.3,14013.2
2084.67,13967.2
2083.04,13901.3
2081.41,13848.9
2079.77,13783.3
2078.14,13705.4
2076.51,13678.3
2074.88,13602.7
2073.24,13555.5
2071.61,13503.4
2069.97,13462.7
2068.34,13450.3
2066.7,13378.6
2065.07,13338.8
2063.43,13295.2
2061.8,13259.3
2060.16,13210.7
2058.52,13152.3
2056.89,13103.7
2055.25,13038.3
2053.61,13019.1
2051.97,12945.2
2050.33,12880.7
2048.69,12832.7
2047.05,12738.9
2045.41,12704.4
2043.77,12597.2
2042.13,12559.7
2040.49,12462.3
