PEG_X,PEG_Y
1238.589388,83.383953 
1240.026266,83.335515 
1241.463145,83.283414 
1242.900023,83.184549 
1244.336902,83.112313 
1245.773781,83.081034 
1247.210659,83.031006 
1248.647538,83.025083 
1250.084417,83.055164 
1251.521295,83.097979 
1252.958174,83.192035 
1254.395053,83.312714 
1255.831931,83.471808 
1257.268810,83.641230 
1258.705688,83.779924 
1260.142567,83.952547 
1261.579446,84.131677 
1263.016324,84.270803 
1264.453203,84.395770 
1265.890082,84.479710 
1267.326960,84.515839 
1268.763839,84.504187 
1270.200718,84.453856 
1271.637596,84.415363 
1273.074475,84.358374 
1274.511353,84.279930 
1275.948232,84.213411 
1277.385111,84.119413 
1278.821989,84.034824 
1280.258868,83.991573 
1281.695747,83.950370 
1283.132625,83.936009 
1284.569504,83.942338 
1286.006383,83.956657 
1287.443261,83.994609 
1288.880140,84.038522 
1290.317019,84.110522 
1291.753897,84.189585 
1293.190776,84.255078 
1294.627654,84.352447 
1296.064533,84.444560 
1297.501412,84.537057 
1298.938290,84.661829 
1300.375169,84.772631 
1301.812048,84.914771 
1303.248926,85.087628 
1304.685805,85.233648 
1306.122684,85.382352 
1307.559562,85.540260 
1308.996441,85.700659 
1310.433319,85.872839 
1311.870198,86.029516 
1313.307077,86.178415 
1314.743955,86.325227 
1316.180834,86.460191 
1317.617713,86.590456 
1319.054591,86.709337 
1320.491470,86.833864 
1321.928349,86.946924 
1323.365227,87.040966 
1324.802106,87.116206 
1326.238985,87.200320 
1327.675863,87.142602 
1329.112742,87.068729 
1330.549620,87.013531 
1331.986499,86.953413 
1333.423378,86.885901 
1334.860256,86.728916 
1336.297135,86.565790 
1337.734014,86.377877 
1339.170892,86.143174 
1340.607771,85.913277 
1342.044650,85.692118 
1343.481528,85.353892 
1344.918407,85.019689 
1346.355285,84.683594 
1347.792164,84.462757 
1349.229043,84.450500 
1350.665921,84.591580 
1352.102800,84.800795 
1353.539679,85.030323 
1354.976557,85.248941 
1356.413436,85.485687 
1357.850315,85.682669 
1359.287193,85.832787 
1360.724072,85.977236 
1362.160951,86.082557 
1363.597829,86.226494 
1365.034708,86.377607 
1366.471586,86.441606 
1367.908465,86.467424 
1369.345344,86.481006 
1370.782222,86.478889 
1372.219101,86.469268 
1373.655980,86.459427 
1375.092858,86.492728 
1376.529737,86.526135 
1377.966616,86.508093 
1379.403494,86.499829 
1380.840373,86.508366 
1382.277251,86.523473 
1383.714130,86.545851 
1385.151009,86.536085 
1386.587887,86.540843 
1388.024766,86.560894 
1389.461645,86.543934 
1390.898523,86.527514 
1392.335402,86.526631 
1393.772281,86.500259 
1395.209159,86.465880 
1396.646038,86.436225 
1398.082917,86.420732 
1399.519795,86.451191 
1400.956674,86.472839 
1402.393552,86.452861 
1403.830431,86.410074 
1405.267310,86.371567 
1406.704188,86.427507 
1408.141067,86.479162 
1409.577946,86.508468 
1411.014824,86.539240 
1412.451703,86.512681 
1413.888582,86.500503 
1415.325460,86.500418 
1416.762339,86.462939 
1418.199217,86.552550 
1419.636096,86.787518 
1421.072975,86.824532 
1422.509853,86.798599 
1423.946732,86.870633 
1425.383611,87.009413 
1426.820489,87.130037 
1428.257368,87.232509 
1429.694247,87.284812 
1431.131125,87.281046 
1432.568004,87.266931 
1434.004883,87.283252 
1435.441761,87.299788 
1436.878640,87.278984 
1438.315518,87.345135 
1439.752397,87.331507 
1441.189276,87.311819 
1442.626154,87.281744 
1444.063033,87.277080 
1445.499912,87.331035 
1446.936790,87.375969 
1448.373669,87.406833 
1449.810548,87.408117 
1451.247426,87.373772 
1452.684305,87.415792 
1454.121183,87.482463 
1455.558062,87.585063 
1456.994941,87.824624 
1458.431819,87.986699 
1459.868698,88.033546 
1461.305577,88.194023 
1462.742455,88.292572 
1464.179334,88.386648 
1465.616213,88.449407 
1467.053091,88.471131 
1468.489970,88.617901 
1469.926849,88.772442 
1471.363727,88.880102 
1472.800606,88.996771 
1474.237484,89.074663 
1475.674363,89.263737 
1477.111242,89.728419 
1478.548120,90.060371 
1479.984999,90.292625 
1481.421878,90.513761 
1482.858756,90.686084 
1484.295635,90.887897 
1485.732514,91.007859 
1487.169392,91.159203 
1488.606271,91.305618 
1490.043149,91.364389 
1491.480028,91.552098 
1492.916907,91.712053 
1494.353785,91.841643 
1495.790664,92.165627 
1497.227543,92.397505 
1498.664421,92.466053 
1500.101300,92.517868 
1501.538179,92.509572 
1502.975057,92.603217 
1504.411936,92.765554 
1505.848815,92.834196 
1507.285693,92.687575 
1508.722572,92.907164 
1510.159450,93.047509 
1511.596329,93.246250 
1513.033208,93.263529 
1514.470086,93.201707 
1515.906965,93.135196 
1517.343844,93.103966 
1518.780722,93.174380 
1520.217601,93.277919 
1521.654480,93.378802 
1523.091358,93.433976 
1524.528237,93.415057 
